Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds
2018-09-29,14:30:00,West Coast,Collingwood,MCG,79,74,Y,11,13,11,8,2.24,1.67
2018-09-22,13:20:00,West Coast,Melbourne,Optus Stadium,121,55,Y,18,13,7,13,1.76,2.06
2018-09-21,19:50:00,Richmond,Collingwood,MCG,58,97,Y,8,10,15,7,1.39,2.98
2018-09-15,19:25:00,Collingwood,GWS Giants,MCG,69,59,Y,9,15,9,5,1.57,2.41
2018-09-14,19:50:00,Hawthorn,Melbourne,MCG,71,104,Y,10,11,16,8,2.83,1.43
2018-09-08,18:10:00,West Coast,Collingwood,Optus Stadium,86,70,Y,12,14,10,10,1.61,2.31
2018-09-08,16:20:00,Sydney,GWS Giants,SCG,30,79,Y,4,6,10,19,1.94,1.86
2018-09-07,19:50:00,Melbourne,Geelong,MCG,75,46,Y,10,15,6,10,1.81,1.98
2018-09-06,19:20:00,Richmond,Hawthorn,MCG,95,64,Y,13,17,9,10,1.43,2.82
2018-08-26,16:40:00,St Kilda,North Melbourne,Marvel Stadium,94,117,NA,14,10,17,15,3.15,1.35
2018-08-26,15:20:00,Melbourne,GWS Giants,MCG,102,57,NA,15,12,8,9,1.45,2.68
2018-08-26,13:10:00,Brisbane,West Coast,Gabba,72,98,NA,11,6,14,14,2.2,1.66
2018-08-25,17:25:00,Carlton,Adelaide,Marvel Stadium,61,165,NA,8,13,26,9,5.25,1.14
2018-08-25,19:25:00,Sydney,Hawthorn,SCG,74,83,NA,10,14,12,11,2.04,1.8
2018-08-25,16:35:00,Fremantle,Collingwood,Optus Stadium,67,76,NA,9,13,11,10,5.15,1.15
2018-08-25,13:45:00,Richmond,Western Bulldogs,MCG,98,95,NA,15,8,14,11,1.09,6.89
2018-08-25,13:45:00,Geelong,Gold Coast,GMHBA Stadium,142,40,NA,22,10,5,10,1.01,14.79
2018-08-24,19:50:00,Port Adelaide,Essendon,Adelaide Oval,89,111,NA,13,11,17,9,1.6,2.3
2018-08-19,16:10:00,Adelaide,North Melbourne,Adelaide Oval,86,77,NA,12,14,11,11,1.36,3.09
2018-08-19,13:20:00,West Coast,Melbourne,Optus Stadium,91,108,NA,14,7,16,12,1.7,2.12
2018-08-19,13:10:00,Carlton,Western Bulldogs,Marvel Stadium,49,66,NA,7,7,10,6,4.27,1.21
2018-08-18,19:25:00,Gold Coast,Brisbane,Metricon Stadium,74,78,NA,11,8,10,18,4.19,1.22
2018-08-18,19:25:00,St Kilda,Hawthorn,Marvel Stadium,76,80,NA,11,10,12,8,5.1,1.16
2018-08-18,16:35:00,GWS Giants,Sydney,Spotless Stadium,60,80,NA,8,12,11,14,1.73,2.09
2018-08-18,14:10:00,Geelong,Fremantle,GMHBA Stadium,158,25,NA,24,14,3,7,1.05,9.4
2018-08-18,13:45:00,Collingwood,Port Adelaide,MCG,115,64,NA,17,13,10,4,1.44,2.73
