Game,Date,Round,Home.Team,Home.Goals,Home.Behinds,Home.Points,Away.Team,Away.Goals,Away.Behinds,Away.Points,Venue,Margin,Season,Round.Type,Round.Number,,
13578,25/03/2010,R1,Richmond,9,10,64,Carlton,18,12,120,M.C.G.,-56,2010,Regular,1,,0
13579,26/03/2010,R1,Geelong,19,11,125,Essendon,13,16,94,M.C.G.,31,2010,Regular,1,,0
13580,27/03/2010,R1,Melbourne,8,13,61,Hawthorn,17,15,117,M.C.G.,-56,2010,Regular,1,,0
13581,27/03/2010,R1,Sydney,13,10,88,St Kilda,15,6,96,Stadium Australia,-8,2010,Regular,1,,0
13582,27/03/2010,R1,Brisbane Lions,16,18,114,West Coast,12,10,82,Gabba,32,2010,Regular,1,,0
13583,28/03/2010,R1,Port Adelaide,13,18,96,North Melbourne,12,10,82,Football Park,14,2010,Regular,1,,0
13584,28/03/2010,R1,Footscray,13,15,93,Collingwood,19,15,129,Docklands,-36,2010,Regular,1,,0
13585,28/03/2010,R1,Fremantle,17,16,118,Adelaide,9,8,62,Subiaco,56,2010,Regular,1,,0
13586,1/04/2010,R2,Brisbane Lions,16,11,107,Carlton,12,16,88,Gabba,19,2010,Regular,2,,0
13587,3/04/2010,R2,Collingwood,12,14,86,Melbourne,12,13,85,M.C.G.,1,2010,Regular,2,,0
13588,3/04/2010,R2,St Kilda,23,5,143,North Melbourne,6,3,39,Docklands,104,2010,Regular,2,,0
13589,3/04/2010,R2,West Coast,12,14,86,Port Adelaide,13,11,89,Subiaco,-3,2010,Regular,2,,0
13590,4/04/2010,R2,Adelaide,11,9,75,Sydney,18,10,118,Football Park,-43,2010,Regular,2,,0
13591,4/04/2010,R2,Essendon,9,15,69,Fremantle,17,11,113,Docklands,-44,2010,Regular,2,,0
13592,4/04/2010,R2,Richmond,7,6,48,Footscray,17,18,120,M.C.G.,-72,2010,Regular,2,,0
13593,5/04/2010,R2,Hawthorn,13,13,91,Geelong,14,16,100,M.C.G.,-9,2010,Regular,2,,0
13594,9/04/2010,R3,St Kilda,10,9,69,Collingwood,4,17,41,Docklands,28,2010,Regular,3,,0
13595,10/04/2010,R3,North Melbourne,17,14,116,West Coast,13,13,91,Docklands,25,2010,Regular,3,,0
13596,10/04/2010,R3,Port Adelaide,11,15,81,Brisbane Lions,16,12,108,Football Park,-27,2010,Regular,3,,0
13597,10/04/2010,R3,Carlton,10,15,75,Essendon,13,17,95,M.C.G.,-20,2010,Regular,3,,0
13598,10/04/2010,R3,Sydney,16,15,111,Richmond,7,14,56,S.C.G.,55,2010,Regular,3,,0
13599,11/04/2010,R3,Melbourne,7,15,57,Adelaide,5,11,41,M.C.G.,16,2010,Regular,3,,0
13600,11/04/2010,R3,Footscray,14,16,100,Hawthorn,12,12,84,Docklands,16,2010,Regular,3,,0
13601,11/04/2010,R3,Fremantle,18,17,125,Geelong,17,16,118,Subiaco,7,2010,Regular,3,,0
13602,16/04/2010,R4,West Coast,15,11,101,Essendon,11,12,78,Subiaco,23,2010,Regular,4,,0
13603,17/04/2010,R4,North Melbourne,8,12,60,Sydney,14,16,100,Docklands,-40,2010,Regular,4,,0
13604,17/04/2010,R4,Adelaide,6,19,55,Carlton,16,7,103,Football Park,-48,2010,Regular,4,,0
13605,17/04/2010,R4,Collingwood,17,21,123,Hawthorn,8,11,59,M.C.G.,64,2010,Regular,4,,0
13606,17/04/2010,R4,Brisbane Lions,13,23,101,Footscray,12,7,79,Gabba,22,2010,Regular,4,,0
13607,18/04/2010,R4,Richmond,11,12,78,Melbourne,20,13,133,M.C.G.,-55,2010,Regular,4,,0
13608,18/04/2010,R4,Geelong,23,21,159,Port Adelaide,10,4,64,Kardinia Park,95,2010,Regular,4,,0
13609,18/04/2010,R4,St Kilda,16,12,108,Fremantle,14,9,93,Docklands,15,2010,Regular,4,,0
13610,23/04/2010,R5,Footscray,18,13,121,Adelaide,10,12,72,Docklands,49,2010,Regular,5,,0
13611,24/04/2010,R5,Sydney,17,13,115,West Coast,9,9,63,S.C.G.,52,2010,Regular,5,,0
13612,24/04/2010,R5,Melbourne,15,13,103,Brisbane Lions,7,11,53,M.C.G.,50,2010,Regular,5,,0
13613,24/04/2010,R5,Port Adelaide,7,12,54,St Kilda,6,8,44,Football Park,10,2010,Regular,5,,0
13614,25/04/2010,R5,Collingwood,18,12,120,Essendon,8,7,55,M.C.G.,65,2010,Regular,5,,0
13615,25/04/2010,R5,Hawthorn,10,10,70,North Melbourne,12,10,82,York Park,-12,2010,Regular,5,,0
13616,25/04/2010,R5,Fremantle,15,22,112,Richmond,11,7,73,Subiaco,39,2010,Regular,5,,0
13617,26/04/2010,R5,Carlton,15,14,104,Geelong,9,14,68,M.C.G.,36,2010,Regular,5,,0
13618,30/04/2010,R6,Footscray,6,10,46,St Kilda,7,7,49,Docklands,-3,2010,Regular,6,,0
13619,1/05/2010,R6,North Melbourne,15,14,104,Melbourne,12,6,78,Docklands,26,2010,Regular,6,,0
13620,1/05/2010,R6,Adelaide,10,14,74,Port Adelaide,14,13,97,Football Park,-23,2010,Regular,6,,0
13621,1/05/2010,R6,Essendon,15,16,106,Hawthorn,9,9,63,M.C.G.,43,2010,Regular,6,,0
13622,1/05/2010,R6,Sydney,16,11,107,Brisbane Lions,13,9,87,S.C.G.,20,2010,Regular,6,,0
13623,2/05/2010,R6,Geelong,24,17,161,Richmond,7,11,53,Kardinia Park,108,2010,Regular,6,,0
13624,2/05/2010,R6,Carlton,16,6,102,Collingwood,24,11,155,M.C.G.,-53,2010,Regular,6,,0
13625,2/05/2010,R6,West Coast,10,13,73,Fremantle,17,9,111,Subiaco,-38,2010,Regular,6,,0
13626,7/05/2010,R7,Melbourne,9,12,66,Footscray,10,10,70,M.C.G.,-4,2010,Regular,7,,0
13627,8/05/2010,R7,Essendon,16,10,106,Port Adelaide,17,7,109,Docklands,-3,2010,Regular,7,,0
13628,8/05/2010,R7,West Coast,15,12,102,Hawthorn,14,10,94,Subiaco,8,2010,Regular,7,,0
13629,8/05/2010,R7,Collingwood,23,19,157,North Melbourne,14,7,91,M.C.G.,66,2010,Regular,7,,0
13630,8/05/2010,R7,Brisbane Lions,15,10,100,Fremantle,15,23,113,Gabba,-13,2010,Regular,7,,0
13631,9/05/2010,R7,Geelong,19,12,126,Sydney,9,5,59,Kardinia Park,67,2010,Regular,7,,0
13632,9/05/2010,R7,Adelaide,15,14,104,Richmond,7,12,54,Football Park,50,2010,Regular,7,,0
13633,10/05/2010,R7,St Kilda,9,14,68,Carlton,20,9,129,Docklands,-61,2010,Regular,7,,0
13634,14/05/2010,R8,Fremantle,15,7,97,Collingwood,20,13,133,Subiaco,-36,2010,Regular,8,,0
13635,15/05/2010,R8,Footscray,14,17,101,Sydney,9,9,63,Manuka Oval,38,2010,Regular,8,,0
13636,15/05/2010,R8,Melbourne,6,10,46,West Coast,10,15,75,M.C.G.,-29,2010,Regular,8,,0
13637,15/05/2010,R8,North Melbourne,12,12,84,Adelaide,11,9,75,Docklands,9,2010,Regular,8,,0
13638,15/05/2010,R8,Brisbane Lions,10,14,74,Geelong,24,11,155,Gabba,-81,2010,Regular,8,,0
13639,16/05/2010,R8,Richmond,13,8,86,Hawthorn,13,11,89,M.C.G.,-3,2010,Regular,8,,0
13640,16/05/2010,R8,Port Adelaide,14,8,92,Carlton,17,16,118,Football Park,-26,2010,Regular,8,,0
13641,16/05/2010,R8,St Kilda,11,15,81,Essendon,14,9,93,Docklands,-12,2010,Regular,8,,0
13642,21/05/2010,R9,Collingwood,6,14,50,Geelong,12,14,86,M.C.G.,-36,2010,Regular,9,,0
13643,22/05/2010,R9,North Melbourne,7,15,57,Footscray,20,7,127,Docklands,-70,2010,Regular,9,,0
13644,22/05/2010,R9,Sydney,9,9,63,Fremantle,14,16,100,S.C.G.,-37,2010,Regular,9,,0
13645,22/05/2010,R9,Melbourne,17,9,111,Port Adelaide,16,14,110,Marrara Oval,1,2010,Regular,9,,0
13646,22/05/2010,R9,Essendon,19,16,130,Richmond,14,11,95,M.C.G.,35,2010,Regular,9,,0
13647,23/05/2010,R9,Adelaide,13,15,93,Brisbane Lions,11,15,81,Football Park,12,2010,Regular,9,,1
13648,23/05/2010,R9,Carlton,8,12,60,Hawthorn,16,14,110,Docklands,-50,2010,Regular,9,,0
13649,23/05/2010,R9,West Coast,8,8,56,St Kilda,13,13,91,Subiaco,-35,2010,Regular,9,,0
13650,28/05/2010,R10,Essendon,15,9,99,Footscray,14,6,90,Docklands,9,2010,Regular,10,,0
13651,29/05/2010,R10,Geelong,18,13,121,Melbourne,10,7,67,Kardinia Park,54,2010,Regular,10,,0
13652,29/05/2010,R10,Port Adelaide,3,12,30,Richmond,10,17,77,Football Park,-47,2010,Regular,10,,0
13653,29/05/2010,R10,St Kilda,19,9,123,Adelaide,12,4,76,Docklands,47,2010,Regular,10,,0
13654,29/05/2010,R10,Brisbane Lions,13,10,88,Collingwood,11,14,80,Gabba,8,2010,Regular,10,,0
13655,30/05/2010,R10,Hawthorn,10,19,79,Sydney,11,11,77,M.C.G.,2,2010,Regular,10,,0
13656,30/05/2010,R10,Carlton,15,15,105,West Coast,11,10,76,Docklands,29,2010,Regular,10,,0
13657,30/05/2010,R10,Fremantle,21,13,139,North Melbourne,11,12,78,Subiaco,61,2010,Regular,10,,0
13658,4/06/2010,R11,Richmond,8,11,59,St Kilda,14,13,97,Docklands,-38,2010,Regular,11,,0
13659,5/06/2010,R11,Carlton,15,11,101,Melbourne,9,6,60,M.C.G.,41,2010,Regular,11,,0
13660,5/06/2010,R11,Adelaide,16,9,105,Fremantle,12,10,82,Football Park,23,2010,Regular,11,,0
13661,5/06/2010,R11,North Melbourne,12,18,90,Brisbane Lions,13,11,89,Docklands,1,2010,Regular,11,,0
13662,5/06/2010,R11,West Coast,14,14,98,Geelong,18,14,122,Subiaco,-24,2010,Regular,11,,0
13663,6/06/2010,R11,Sydney,12,17,89,Essendon,12,8,80,S.C.G.,9,2010,Regular,11,,0
13664,6/06/2010,R11,Hawthorn,10,14,74,Port Adelaide,8,15,63,M.C.G.,11,2010,Regular,11,,0
13665,6/06/2010,R11,Collingwood,17,11,113,Footscray,16,7,103,Docklands,10,2010,Regular,11,,0
13666,11/06/2010,R12,North Melbourne,14,13,97,Carlton,10,8,68,Docklands,29,2010,Regular,12,,0
13667,12/06/2010,R12,Hawthorn,19,10,124,Adelaide,11,11,77,York Park,47,2010,Regular,12,,0
13668,12/06/2010,R12,Essendon,12,11,83,Geelong,23,16,154,Docklands,-71,2010,Regular,12,,0
13669,12/06/2010,R12,Port Adelaide,8,7,55,Sydney,14,9,93,Football Park,-38,2010,Regular,12,,0
13670,13/06/2010,R12,Richmond,19,12,126,West Coast,11,11,77,M.C.G.,49,2010,Regular,12,,0
13671,13/06/2010,R12,Footscray,17,19,121,Brisbane Lions,8,8,56,Docklands,65,2010,Regular,12,,0
13672,13/06/2010,R12,Fremantle,10,7,67,St Kilda,12,13,85,Subiaco,-18,2010,Regular,12,,0
13673,14/06/2010,R12,Melbourne,11,10,76,Collingwood,9,22,76,M.C.G.,0,2010,Regular,12,,0
13674,18/06/2010,R13,Hawthorn,14,18,102,Essendon,13,8,86,M.C.G.,16,2010,Regular,13,,0
13675,19/06/2010,R13,Carlton,12,15,87,Fremantle,14,12,96,Docklands,-9,2010,Regular,13,,0
13676,19/06/2010,R13,Brisbane Lions,12,14,86,Richmond,15,15,105,Gabba,-19,2010,Regular,13,,0
13677,20/06/2010,R13,North Melbourne,19,15,129,Port Adelaide,14,9,93,Docklands,36,2010,Regular,13,,0
13678,20/06/2010,R13,West Coast,9,5,59,Footscray,17,17,119,Subiaco,-60,2010,Regular,13,,0
13679,25/06/2010,R13,St Kilda,10,10,70,Geelong,6,10,46,M.C.G.,24,2010,Regular,13,,0
13680,26/06/2010,R13,Sydney,10,11,71,Collingwood,13,18,96,Stadium Australia,-25,2010,Regular,13,,0
13681,27/06/2010,R13,Adelaide,16,21,117,Melbourne,11,7,73,Football Park,44,2010,Regular,13,,0
13682,1/07/2010,R14,Carlton,18,12,120,Brisbane Lions,9,11,65,Docklands,55,2010,Regular,14,,0
13683,2/07/2010,R14,Hawthorn,12,7,79,Footscray,11,10,76,M.C.G.,3,2010,Regular,14,,0
13684,3/07/2010,R14,Fremantle,17,13,115,Port Adelaide,8,10,58,Subiaco,57,2010,Regular,14,,0
13685,3/07/2010,R14,Collingwood,20,15,135,West Coast,7,10,52,Docklands,83,2010,Regular,14,,0
13686,3/07/2010,R14,Adelaide,19,10,124,Essendon,5,10,40,Football Park,84,2010,Regular,14,,0
13687,4/07/2010,R14,Geelong,14,14,98,North Melbourne,9,9,63,Kardinia Park,35,2010,Regular,14,,0
13688,4/07/2010,R14,Richmond,14,5,89,Sydney,12,13,85,M.C.G.,4,2010,Regular,14,,0
13689,4/07/2010,R14,St Kilda,15,10,100,Melbourne,9,11,65,Docklands,35,2010,Regular,14,,0
13690,9/07/2010,R15,Port Adelaide,12,7,79,Collingwood,16,9,105,Football Park,-26,2010,Regular,15,,0
13691,10/07/2010,R15,Geelong,12,13,85,Hawthorn,11,17,83,M.C.G.,2,2010,Regular,15,,0
13692,10/07/2010,R15,West Coast,14,11,95,Adelaide,17,15,117,Subiaco,-22,2010,Regular,15,,0
13693,10/07/2010,R15,Richmond,15,10,100,Fremantle,11,15,81,Docklands,19,2010,Regular,15,,0
13694,10/07/2010,R15,Brisbane Lions,10,5,65,St Kilda,11,13,79,Gabba,-14,2010,Regular,15,,0
13695,11/07/2010,R15,Sydney,12,13,85,North Melbourne,7,13,55,S.C.G.,30,2010,Regular,15,,0
13696,11/07/2010,R15,Melbourne,19,8,122,Essendon,14,19,103,M.C.G.,19,2010,Regular,15,,0
